last_work_place;title;href;count
None;Ui/Ux дизайнер;https://hh.ruhttps://hh.ru/resume/807503e900080205750039ed1;6
None;Frontend developer;https://hh.ruhttps://hh.ru/resume/ce1d426e00081b05db0039ed1;6
None;Помощник СЕО специалиста;https://hh.ruhttps://hh.ru/resume/1f09a4b300079555cf0039ed1;6
None;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/bb305d59000751fd910039ed1;6
None;android developer;https://hh.ruhttps://hh.ru/resume/ad7b246c00081ca55c0039ed1;6
None;Junior Developer;https://hh.ruhttps://hh.ru/resume/cd3bb9460002c4b43e0039ed1;6
Московский городской психолого-педагогический университет;Стажер-программист;https://hh.ruhttps://hh.ru/resume/77c1a2c80002f0d7e60039ed1;1
"ООО ""Аудит груп""";Аналитик  специалист по работе с базами данных;https://hh.ruhttps://hh.ru/resume/3b364ab90007f0a3e40039ed1;1
"ООО ""Хлебозавод ""Крымский""";ИТ-специалист;https://hh.ruhttps://hh.ru/resume/9f6366200008034f6e0039ed1;1
"Онлайн-лагерь ""Творческий подход""";Администратор онлайн-курсов;https://hh.ruhttps://hh.ru/resume/820926e50004f35e6a0039ed1;1
Онлайн-школа Тетрика;Junior python developer;https://hh.ruhttps://hh.ru/resume/c74fd55d00067d64a10039ed1;1
Ремонт телефонов;Специалист;https://hh.ruhttps://hh.ru/resume/a716ece000081b146e0039ed1;1
Рокетбанк;Специалист службы поддержки;https://hh.ruhttps://hh.ru/resume/0afa29dd0007e6ec130039ed1;1
1С-Рарус;Тестировщик автоматизатор  разработчик;https://hh.ruhttps://hh.ru/resume/92e80faa00081face60039ed1;1
МТС Банк;Junior IOS разработчик;https://hh.ruhttps://hh.ru/resume/f6d86b55000822ad0b0039ed1;1
Санточа Quiksilver Russia  ООО;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/c639c0d800062d84a60039ed1;1
Такском  ООО;Оператор call-центра;https://hh.ruhttps://hh.ru/resume/fd08fd5e000556035f0039ed1;1
Тензор;Системный администратор;https://hh.ruhttps://hh.ru/resume/70bc9e0d00073a25e20039ed1;1
Тинькофф;Специалист по IT  техническая поддержка;https://hh.ruhttps://hh.ru/resume/c87126b500062eb2570039ed1;1
УРТК им. А.С. Попова;Android-разработчик;https://hh.ruhttps://hh.ru/resume/f726a6cd00072150020039ed1;1
Удаленная работа в США;Frontend-разработчик;https://hh.ruhttps://hh.ru/resume/21f749bb00058c181b0039ed1;1
Учебные проекты;Frontend-разработчик;https://hh.ruhttps://hh.ru/resume/c59f902d000780b9860039ed1;1
Фриланс тестирование;QA/Тестировщик;https://hh.ruhttps://hh.ru/resume/a9e0cc040007cf4cd60039ed1;1
ЦМД-софт  ОАО;Гейм-дизайнер;https://hh.ruhttps://hh.ru/resume/f5b8957600073c07840039ed1;1
Министерство экономического развития Российской Федерации;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/aa8ddf7c0007de07850039ed1;1
ИП Камшина;Младший специалист технического отдела/ массажист;https://hh.ruhttps://hh.ru/resume/11defec300073f96520039ed1;1
Лантер;Сервисный инженер;https://hh.ruhttps://hh.ru/resume/cab8e3ba0007f7c6150039ed1;1
Limitless Creators;Junior Frontend Developer;https://hh.ruhttps://hh.ru/resume/138cc0e70008162fc30039ed1;1
Beast Hunter;Unity-Developer Junior;https://hh.ruhttps://hh.ru/resume/33a67e5b0007e97aca0039ed1;1
Destiny.Games;Специалист по технической поддержке;https://hh.ruhttps://hh.ru/resume/36fbd61900073d5f3c0039ed1;1
Directiv;Младший программист(Python/SQL) / Аналитик данных;https://hh.ruhttps://hh.ru/resume/9283bd8200081773560039ed1;1
INLINE Technologies;Координатор;https://hh.ruhttps://hh.ru/resume/1539e8650003e0a1630039ed1;1
Java Mentor;Java-разработчик;https://hh.ruhttps://hh.ru/resume/4403e439000814979e0039ed1;1
Krossvik;HTML CSS верстальщик Junior;https://hh.ruhttps://hh.ru/resume/191e9706000810abc10039ed1;1
Kuchenland;Специалист технической поддержки;https://hh.ruhttps://hh.ru/resume/0f15f1780005a076350039ed1;1
Makves;Frontend-разработчик;https://hh.ruhttps://hh.ru/resume/a748e1250005ed33c90039ed1;1
Крок инкорпорейтед;Интерн разработчик;https://hh.ruhttps://hh.ru/resume/60bbf43a0006e04fb00039ed1;1
SCHENKER;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/0ab62909000818bdc40039ed1;1
Skillbox;Junior Frontend разработчик;https://hh.ruhttps://hh.ru/resume/8f5b51090007f5c4c40039ed1;1
Администрация города;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/0ae29d2a0005a823210039ed1;1
Администрация городского округа Солнечногорск - Центр управления регионом;Младший разработчик Python;https://hh.ruhttps://hh.ru/resume/ec6cfa5a0003a630520039ed1;1
Альбион-2002  ООО;Системный аналитик;https://hh.ruhttps://hh.ru/resume/c929c9490007d8f4d10039ed1;1
AIC;Web-disigner;https://hh.ruhttps://hh.ru/resume/2c4f879e0005219bf40039ed1;1
Компания АКАНА;Сборщик ПК  Консультант по выбору железа ПК и периферии  Настройщик ПК;https://hh.ruhttps://hh.ru/resume/fd3090110007f4fd1c0039ed1;1
Щербинская типография;Помощник системного администратора;https://hh.ruhttps://hh.ru/resume/189039c100081b333e0039ed1;1
